Buchungsdatum,Belegdatum,Materialnummer,Bezeichnung,Menge,Einheit,Werk,Kostenstelle,Bewegungsart,Lieferant
15.01.2024,12.01.2024,MAT-10045,DIESEL,5200,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
18.01.2024,17.01.2024,MAT-10046,BENZIN,3100,L,1020,CC-OPS-02,101,BP Europa SE
22.01.2024,20.01.2024,MAT-10047,ERDGAS,480,M3,1010,CC-HEAT-01,101,E.ON Energie Deutschland
28.01.2024,26.01.2024,MAT-10048,DIESEL,4800,L,2020,CC-OPS-03,101,Total Energies SE
02.02.2024,01.02.2024,MAT-10045,DIESEL,5500,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
05.02.2024,04.02.2024,MAT-10049,HEIZÖL,2200,L,2010,CC-HEAT-02,101,BP Europa SE
09.02.2024,08.02.2024,MAT-10046,BENZIN,2800,L,1020,CC-OPS-02,101,Aral AG
14.02.2024,13.02.2024,MAT-10050,LPG,1100,KG,3010,CC-OPS-04,101,SHV Energy
18.02.2024,16.02.2024,MAT-10047,ERDGAS,520,M3,1010,CC-HEAT-01,101,E.ON Energie Deutschland
25.02.2024,23.02.2024,MAT-10045,DIESEL,6100,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
01.03.2024,29.02.2024,MAT-10048,DIESEL,4500,L,2020,CC-OPS-03,101,Total Energies SE
05.03.2024,04.03.2024,MAT-10046,BENZIN,3300,L,1020,CC-OPS-02,101,BP Europa SE
10.03.2024,08.03.2024,MAT-10047,ERDGAS,550,M3,1010,CC-HEAT-01,101,E.ON Energie Deutschland
15.03.2024,14.03.2024,MAT-10045,DIESEL,1200,GAL,1010,CC-OPS-01,101,Shell Deutschland GmbH
20.03.2024,19.03.2024,MAT-10049,HEIZÖL,2500,L,2010,CC-HEAT-02,101,BP Europa SE
25.03.2024,24.03.2024,MAT-10046,BENZIN,2900,L,1020,CC-OPS-02,101,Aral AG
28.03.2024,27.03.2024,MAT-10051,DIESEL,47000,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
01.04.2024,31.03.2024,MAT-10047,ERDGAS,490,M3,1010,CC-HEAT-01,101,E.ON Energie Deutschland
08.04.2024,06.04.2024,MAT-10045,DIESEL,5100,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
12.04.2024,11.04.2024,MAT-10048,DIESEL,4700,L,2020,CC-OPS-03,101,Total Energies SE
18.04.2024,17.04.2024,MAT-10050,LPG,980,KG,3010,CC-OPS-04,101,SHV Energy
22.04.2024,20.04.2024,MAT-10046,BENZIN,3000,L,1020,CC-OPS-02,101,Aral AG
28.04.2024,26.04.2024,MAT-10052,PETROL,-50,L,9999,CC-TEST,101,Test Vendor
05.05.2024,03.05.2024,MAT-10045,DIESEL,5300,L,1010,CC-OPS-01,101,Shell Deutschland GmbH
10.05.2024,09.05.2024,MAT-10053,ERDGAS,510,CBM,1010,CC-HEAT-01,101,E.ON Energie Deutschland
15.05.2024,14.05.2024,MAT-10046,BENZIN,2950,L,1020,CC-OPS-02,101,BP Europa SE
20.05.2024,19.05.2024,MAT-10048,DIESEL,4600,L,2020,CC-OPS-03,101,Total Energies SE
25.05.2024,23.05.2024,MAT-10049,HEIZOL,2100,L,2010,CC-HEAT-02,101,BP Europa SE
